Srno,Department,Budget Head,Allocation
1,000108 Council Office,2101001 Salaries & Allowances,15200000
2,000108 Council Office,2101021 Wages (Muster Workers),100000
3,000108 Council Office,2102001 Remuneration & Fees - Mayor,7500000
4,000108 Council Office,2102061 Staff welfare expenses,200000
5,000108 Council Office,2201201 Telephone expenses,1000000
6,000108 Council Office,2201203 Postage/S.M.S/Courier Exp.,200000
7,000108 Council Office,2202001 Books/Magazines For Office,500000
8,000108 Council Office,2202003 Books and Periodicals for IMC Library,500000
9,000108 Council Office,2202004 Books/Periodicals For Safai Kamgar Library,50000
10,000108 Council Office,2202101 Printing expenses,500000
11,000108 Council Office,2202102 Stationery,900000
12,000108 Council Office,2203005 Travelling and Conveyance - Staff,500000
13,000108 Council Office,2204003 Insurance Exp. Ravindra Natya Grih,100000
14,000108 Council Office,2205110 Exp.For Legal Cases Due in court,100000
15,000108 Council Office,2206031 Shahnai Vadan (Cultural Events (Corporation),500000
16,000108 Council Office,2206032 Exp. on Organising Cultural Events At Historical Places,200000
17,000108 Council Office,2206042 Exp. on Guests,1000000
18,000108 Council Office,2206043 Photography / Designing & Publication Expenses,1000000
19,000108 Council Office,2206101 Membership Fees for all India Council of mayors / Sports Council,200000
20,000108 Council Office,2208001 Expenses for Meeting of Corporation / MIC,1500000
21,000108 Council Office,2208003 Corporation's Discretionary Expenses,1000000
22,000108 Council Office,2208004 Mayor's Discretionary Expenses,3000000
23,000108 Council Office,2208005 MIC's Discretionary Expenses,5000000
24,000108 Council Office,2208010 Exp. on Assistance/Grant Underule,5000000
25,000108 Council Office,2208051 Miscellaneous expenses,100000
26,000108 Council Office,2304001 Hire Charges of Light Vehicles,100000
27,000108 Council Office,2304003 Hire Charges of Sound Equipments,200000
28,000108 Council Office,2305065 Temporary Electricity Arrangement,100000
29,000108 Council Office,2305086 Expenditure On Previous Year Devlopment Works,500000
30,000108 Council Office,2305202 Electric and Sound Arrangement Exp.at Ravindra Bhawan,1000
31,000108 Council Office,2305504 Maintance Of office Equipment Photo-copiers,300000
32,000108 Council Office,2502001 Sports and Social Cultural Activity Exp.,7500000
33,000108 Council Office,2502002 Ganesh Visarjan Function/Procession Exp.,150000
34,000108 Council Office,2502003 Exp. on National Festival/Programs/Govt. Camps,200000
35,000108 Council Office,2502004 New Year Celebration (Gudi Padwa),2000000
36,000108 Council Office,2502005 26 Jan. & 15 Aug.National Festival Celebration,150000
37,000108 Council Office,2502008 Exp. on Mayor/Speaker Conference,500000
38,000108 Council Office,2502009 Sweet Distribution - 15 Aug and 26 Jan,100000
39,000108 Council Office,2502012 Exp. on Socical Cultural Activities (Malwa Utsav),1500000
