Srno,Department,Budget Head,Allocation
1,000108 Council Office,2101001 Salaries & Allowances,10500000
2,000108 Council Office,2101021 Wages (Muster Workers),100000
3,000108 Council Office,2102001 Remuneration & Fees - Mayor,5500000
4,000108 Council Office,2102061 Staff welfare expenses,200000
5,000108 Council Office,2201201 Telephone expenses,1000000
6,000108 Council Office,2201203 Postage/S.M.S/Courier Exp.,200000
7,000108 Council Office,2202001 Books/Magazines For Office,100000
8,000108 Council Office,2202003 Books and Periodicals for IMC Library,500000
9,000108 Council Office,2202004 Books/Periodicals For Safai Kamgar Library,50000
10,000108 Council Office,2202102 Stationery,900000
11,000108 Council Office,2203005 Travelling and Conveyance - Staff,500000
12,000108 Council Office,2204003 Insurance Exp. Ravindra Natya Grih,100000
13,000108 Council Office,2205110 Exp.For Legal Cases Due in court,100000
14,000108 Council Office,2206031 Shahnai Vadan (Cultural Events (Corporation),10000
15,000108 Council Office,2206032 Exp. on Organising Cultural Events At Historical Places,100000
16,000108 Council Office,2206042 Exp. on Guests,1000000
17,000108 Council Office,2206043 Photography / Designing & Publication Expenses,1500000
18,000108 Council Office,2206101 Membership Fees for all India Council of mayors / Sports Council,200000
19,000108 Council Office,2208001 Expenses for Meeting of Corporation / MIC,800000
20,000108 Council Office,2208003 Corporation's Discretionary Expenses,1000000
21,000108 Council Office,2208004 Mayor's Discretionary Expenses,1500000
22,000108 Council Office,2208005 MIC's Discretionary Expenses,5000000
23,000108 Council Office,2208010 Exp. on Assistance/Grant Underule,5000000
24,000108 Council Office,2208051 Miscellaneous expenses,100000
25,000108 Council Office,2304001 Hire Charges of Light Vehicles,200000
26,000108 Council Office,2304003 Hire Charges of Sound Equipments,200000
27,000108 Council Office,2305065 Temporary Electricity Arrangement,2500000
28,000108 Council Office,2305086 Expenditure On Previous Year Devlopment Works,1500000
29,000108 Council Office,2305202 Electric and Sound Arrangement Exp.at Ravindra Bhawan,200000
30,000108 Council Office,2305504 Maintance Of office Equipment Photo-copiers,300000
31,000108 Council Office,2502001 Sports and Social Cultural Activity Exp.,7500000
32,000108 Council Office,2502002 Ganesh Visarjan Function/Procession Exp.,150000
33,000108 Council Office,2502003 Exp. on National Festival/Programs/Govt. Camps,200000
34,000108 Council Office,2502004 New Year Celebration (Gudi Padwa),2000000
35,000108 Council Office,2502005 26 Jan. & 15 Aug.National Festival Celebration,150000
36,000108 Council Office,2502008 Exp. on Mayor/Speaker Conference,500000
37,000108 Council Office,2502009 Sweet Distribution - 15 Aug and 26 Jan,100000
38,000108 Council Office,2502012 Exp. on Socical Cultural Activities (Malwa Utsav),1500000
39,000108 Council Office,2502013 Exp. On Different Social/ Cultural/Neem Fastival/ Ahiliya Drama / World garden day (Marathon/Others),3500000
40,000108 Council Office,2502014 Exp. on Socical/Cultural Activivites (I.M.C. Contribution),1000000
41,000108 Council Office,2502015 Exp. on Mayor Wreslling competition,2000000
42,000108 Council Office,2502016 Exp. For Mayor Office,500000
43,000108 Council Office,2502017 Award for Best Corporator in Memory of Rajesh Joshi,100000
44,000108 Council Office,2503001 Contribution to Lata Mangeshkar Prize,600000
45,000108 Council Office,2503002 Contribution to functions of District Administration(Jhanda Uncha Rahe Hamara),200000
46,000108 Council Office,2503003 Contribution to functions of State Administration,200000
47,000108 Council Office,2503005 IMC Contribution to Ahilya Prizes,200000
48,000108 Council Office,2503006 IMC Contribution In Ganesh Visarjan Jhanki,400000
49,000108 Council Office,2602001 IMC Contribution/Grant For Om Nagpal Library,200000
50,000108 Council Office,4105001 Purchase of Vehicles/Motor Car,1500000
51,000108 Council Office,4106004 Purchase of Photo-copiers,100000
52,000108 Council Office,4106011 Purchase of Office Equipment,500000
53,000108 Council Office,4107001 Purchase of Furniture,500000
54,000109 Public Relation Office,2201221 Postage/Courier expenses,500000
55,000109 Public Relation Office,"2202005 Table, Diaries and Calender/ Publication",500000
56,000109 Public Relation Office,2202106 Printing & Stationary Exp.,500000
57,000109 Public Relation Office,2203005 Travelling and Conveyance - Staff,50000
58,000109 Public Relation Office,2206001 Publicity & Advertisement Expenses,9000000
59,000109 Public Relation Office,2206002 Tenders Advertisement Expenses,9000000
60,000109 Public Relation Office,2206004 Issue of Notices,100000
61,000109 Public Relation Office,2206012 Publications expenses of citizen edition on E-News (citizen) Social Media,1000000
62,000109 Public Relation Office,2206022 Publication of Periodicals/Magazines/Others,1500000
63,000109 Public Relation Office,2206044 Documentary and Video Films,1500000
64,000109 Public Relation Office,2208002 Exp. On Reception of V.I.P.Guests expenses,200000
65,000109 Public Relation Office,2208007 Exp. on Protocool,1000000
66,000201 Municipal Commissioner's Office,2101001 Salaries & Allowances,17500000
67,000201 Municipal Commissioner's Office,2101021 Wages (Muster Workers),80000000
68,000201 Municipal Commissioner's Office,2102031 Medical Allowance/Expenses,100000
69,000201 Municipal Commissioner's Office,2102071 Staff training expenses,100000
70,000201 Municipal Commissioner's Office,2102072 Staff Personality Development Expenses (yoga),1500000
71,000201 Municipal Commissioner's Office,2201130 Maintenance of Records,250000
72,000201 Municipal Commissioner's Office,2201201 Telephone expenses,1000000
73,000201 Municipal Commissioner's Office,2201202 Mobiles/Motorola Set Maint. Exp.,2000000
74,000201 Municipal Commissioner's Office,2201221 Postage/Courier expenses,50000
75,000201 Municipal Commissioner's Office,2202001 Books/Magazines For Office,100000
76,000201 Municipal Commissioner's Office,2202101 Printing expenses,100000
77,000201 Municipal Commissioner's Office,2203005 Travelling and Conveyance - Staff,300000
78,000201 Municipal Commissioner's Office,2206041 Workshop and Seminars,200000
79,000201 Municipal Commissioner's Office,2206103 Membership Fees,500000
80,000201 Municipal Commissioner's Office,2208006 Commissioner's Discretionary Expenses,500000
81,000201 Municipal Commissioner's Office,2208011 Awards (Corporation Employees),100000
82,000201 Municipal Commissioner's Office,2208014 Exp. On Guests,100000
83,000201 Municipal Commissioner's Office,2208051 Miscellaneous expenses,240000
84,000201 Municipal Commissioner's Office,2208051 Miscellaneous expenses,400000
