Srno,Department,Budget Head,Allocation
1,000108 Council Office,2101001 Salaries & Allowances,20000000
2,000108 Council Office,2101021 Wages (Muster Workers),100000
3,000108 Council Office,2102001 Remuneration & Fees - Mayor,7500000
4,000108 Council Office,2102061 Staff welfare expenses,200000
5,000108 Council Office,2201201 Telephone expenses,1000000
6,000108 Council Office,2201203 Postage/S.M.S/Courier Exp.,200000
7,000108 Council Office,2202001 Books/Magazines For Office,500000
8,000108 Council Office,2202003 Books and Periodicals for IMC Library,500000
9,000108 Council Office,2202004 Books/Periodicals For Safai Kamgar Library,50000
10,000108 Council Office,2202101 Printing expenses,500000
11,000108 Council Office,2202102 Stationery,900000
12,000108 Council Office,2203005 Travelling and Conveyance - Staff,500000
13,000108 Council Office,2204003 Insurance Exp. Ravindra Natya Grih,100000
14,000108 Council Office,2205110 Exp.For Legal Cases Due in court,100000
15,000108 Council Office,2206031 Shahnai Vadan (Cultural Events (Corporation),500000
16,000108 Council Office,2206032 Exp. on Organising Cultural Events At Historical Places,200000
17,000108 Council Office,2206042 Exp. on Guests,1000000
18,000108 Council Office,2206043 Photography / Designing & Publication Expenses,1000000
19,000108 Council Office,2206101 Membership Fees for all India Council of mayors / Sports Council,200000
20,000108 Council Office,2208001 Expenses for Meeting of Corporation / MIC,2500000
21,000108 Council Office,2208003 Corporation's Discretionary Expenses,1000000
22,000108 Council Office,2208004 Mayor's Discretionary Expenses,3000000
23,000108 Council Office,2208005 MIC's Discretionary Expenses,5000000
24,000108 Council Office,2208010 Exp. on Assistance/Grant Underule,5000000
25,000108 Council Office,2208051 Miscellaneous expenses,100000
26,000108 Council Office,2304001 Hire Charges of Light Vehicles,100000
27,000108 Council Office,2304003 Hire Charges of Sound Equipments,200000
28,000108 Council Office,2305065 Temporary Electricity Arrangement,100000
29,000108 Council Office,2305202 Electric and Sound Arrangement Exp.at Ravindra Bhawan,1000
30,000108 Council Office,2305504 Maintance Of office Equipment Photo-copiers,300000
31,000108 Council Office,2502001 Sports and Social Cultural Activity Exp.,12500000
32,000108 Council Office,2502002 Ganesh Visarjan Function/Procession Exp.,500000
33,000108 Council Office,2502003 Exp. on National Festival/Programs/Govt. Camps,200000
34,000108 Council Office,2502004 New Year Celebration (Gudi Padwa),1500000
35,000108 Council Office,2502005 26 Jan. & 15 Aug.National Festival Celebration,250000
36,000108 Council Office,2502008 Exp. on Mayor/Speaker Conference,500000
37,000108 Council Office,2502012 Exp. on Socical Cultural Activities (Malwa Utsav),1500000
38,000108 Council Office,2502013 Exp. On Different Social/ Cultural/Neem Fastival/ Ahiliya Drama / World garden day (Marathon/Others),1000000
39,000108 Council Office,2502014 Exp. on Socical/Cultural Activivites (I.M.C. Contribution),1000000
40,000108 Council Office,2502015 Exp. on Mayor Wreslling competition,2000000
41,000108 Council Office,2502016 Exp. For Mayor Office,500000
42,000108 Council Office,2502017 Award for Best Corporator in Memory of Rajesh Joshi,100000
43,000108 Council Office,2503001 Contribution to Lata Mangeshkar Prize,600000
44,000108 Council Office,2503002 Contribution to functions of District Administration(Jhanda Uncha Rahe Hamara),200000
45,000108 Council Office,2503003 Contribution to functions of State Administration,1000000
46,000108 Council Office,2503005 IMC Contribution to Ahilya Prizes,200000
47,000108 Council Office,2503006 IMC Contribution In Ganesh Visarjan Jhanki,1000000
48,000108 Council Office,2503008 Antonday Fair organized by the state government expenditures on,3000000
49,000108 Council Office,2503010 Support for cultural activities / grants expenditure,2500000
50,000108 Council Office,2602001 IMC Contribution/Grant For Om Nagpal Library,200000
51,000108 Council Office,4105001 Purchase of Vehicles/Motor Car,1500000
52,000108 Council Office,4106004 Purchase of Photo-copiers,200000
